2025-08-02T16:19:56.103506, X=-0.79, Y=-0.56, Z=0.18
2025-08-02T16:19:56.206363, X=-0.79, Y=-0.55, Z=0.19
2025-08-02T16:19:56.309197, X=-0.79, Y=-0.55, Z=0.19
2025-08-02T16:19:56.412087, X=-0.79, Y=-0.56, Z=0.17
2025-08-02T16:19:56.514961, X=-0.79, Y=-0.55, Z=0.17
2025-08-02T16:19:56.617886, X=-0.79, Y=-0.56, Z=0.16
2025-08-02T16:19:56.720815, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:56.823795, X=-0.79, Y=-0.56, Z=0.17
2025-08-02T16:19:56.926731, X=-0.79, Y=-0.56, Z=0.17
2025-08-02T16:19:57.029646, X=-0.79, Y=-0.56, Z=0.18
2025-08-02T16:19:57.132562, X=-0.79, Y=-0.56, Z=0.19
2025-08-02T16:19:57.235456, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:57.338345, X=-0.79, Y=-0.56, Z=0.18
2025-08-02T16:19:57.441223, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:57.544100, X=-0.79, Y=-0.56, Z=0.18
2025-08-02T16:19:57.647022, X=-0.79, Y=-0.55, Z=0.16
2025-08-02T16:19:57.749933, X=-0.79, Y=-0.57, Z=0.17
2025-08-02T16:19:57.852874, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:57.955814, X=-0.80, Y=-0.56, Z=0.17
2025-08-02T16:19:58.058749, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:58.161740, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:58.264644, X=-0.78, Y=-0.55, Z=0.18
2025-08-02T16:19:58.367556, X=-0.78, Y=-0.55, Z=0.17
2025-08-02T16:19:58.470443, X=-0.79, Y=-0.56, Z=0.17
2025-08-02T16:19:58.573337, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:58.676252, X=-0.79, Y=-0.55, Z=0.16
2025-08-02T16:19:58.779183, X=-0.79, Y=-0.56, Z=0.18
2025-08-02T16:19:58.882143, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:58.985088, X=-0.79, Y=-0.55, Z=0.17
2025-08-02T16:19:59.088028, X=-0.79, Y=-0.56, Z=0.17
2025-08-02T16:19:59.191280, X=-0.79, Y=-0.56, Z=0.18
2025-08-02T16:19:59.294451, X=-0.79, Y=-0.55, Z=0.17
2025-08-02T16:19:59.397330, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:59.500220, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:59.603135, X=-0.79, Y=-0.55, Z=0.18
2025-08-02T16:19:59.706057, X=-0.79, Y=-0.55, Z=0.17
2025-08-02T16:19:59.808907, X=-0.79, Y=-0.56, Z=0.18
2025-08-02T17:03:34.270968, X=-0.80, Y=-0.53, Z=0.19
2025-08-02T17:03:34.373936, X=-0.80, Y=-0.53, Z=0.18
2025-08-02T17:03:34.476885, X=-0.79, Y=-0.54, Z=0.19
2025-08-02T17:03:34.579808, X=-0.80, Y=-0.53, Z=0.18
2025-08-02T17:03:34.682740, X=-0.80, Y=-0.52, Z=0.19
2025-08-02T17:03:34.785696, X=-0.80, Y=-0.54, Z=0.19
2025-08-02T17:03:34.888644, X=-0.80, Y=-0.54, Z=0.18
2025-08-02T17:03:34.991595, X=-0.79, Y=-0.54, Z=0.20
2025-08-02T17:03:35.094526, X=-0.80, Y=-0.54, Z=0.18
2025-08-02T17:03:35.197457, X=-0.80, Y=-0.54, Z=0.19
2025-08-02T17:03:35.300353, X=-0.80, Y=-0.54, Z=0.18
2025-08-02T17:03:35.403326, X=-0.80, Y=-0.54, Z=0.18
2025-08-02T17:03:35.506221, X=-0.80, Y=-0.54, Z=0.18
2025-08-02T17:03:35.609125, X=-0.80, Y=-0.54, Z=0.18
2025-08-02T17:03:35.712056, X=-0.80, Y=-0.53, Z=0.17
2025-08-02T17:03:35.815007, X=-0.80, Y=-0.53, Z=0.19
2025-08-02T17:03:35.917946, X=-0.80, Y=-0.53, Z=0.19
2025-08-02T17:03:36.020928, X=-0.79, Y=-0.54, Z=0.19
2025-08-02T17:03:36.123867, X=-0.80, Y=-0.54, Z=0.19
2025-08-02T17:03:36.226808, X=-0.80, Y=-0.54, Z=0.18
2025-08-02T17:03:36.329704, X=-0.80, Y=-0.53, Z=0.18
2025-08-02T17:03:36.432601, X=-0.81, Y=-0.54, Z=0.18
2025-08-02T17:03:36.535501, X=-0.80, Y=-0.53, Z=0.18
2025-08-02T17:03:36.638392, X=-0.80, Y=-0.54, Z=0.18
2025-08-02T17:03:36.741348, X=-0.79, Y=-0.54, Z=0.18
2025-08-02T17:03:36.844275, X=-0.80, Y=-0.54, Z=0.18
2025-08-02T17:03:36.947158, X=-0.78, Y=-0.53, Z=0.18
